,date,text,Comment,Word_Tok,CommentAferPreproc,sentiment
0,2021-03-19 23:59:44,b'@TrethanSW And it doesn\xe2\x80\x99t have all the bloat ware other companies add to android. I hate what Samsung does to it.',b'@trethansw and it doesn\xe2\x80\x99t have all the bloat ware other companies add to android. i hate what samsung does to it.',"['b', 'trethansw', 'and', 'it', 'doesn', 'xe2', 'x80', 'x99t', 'have', 'all', 'the', 'bloat', 'ware', 'other', 'companies', 'add', 'to', 'android', 'i', 'hate', 'what', 'samsung', 'does', 'to', 'it']",b trethansw xe2 x80 x99t bloat ware company add android hate samsung,Negative
1,2021-03-19 23:59:31,b'SAMSUNG GALAXY A52 UNBOXING and GIVEAWAY\xf0\x9f\x94\xa5 https://t.co/ZAb89akJDR via @YouTube super',b'samsung galaxy a52 unboxing and giveaway\xf0\x9f\x94\xa5 https://t.co/zab89akjdr via @youtube super',"['b', 'samsung', 'galaxy', 'a52', 'unboxing', 'and', 'giveaway', 'xf0', 'x9f', 'x94', 'xa5', 'https', 't', 'co', 'zab89akjdr', 'via', 'youtube', 'super']",b samsung galaxy a52 unboxing giveaway xf0 x9f x94 xa5 http co zab89akjdr via youtube super,Positive
2,2021-03-19 23:59:28,"b'Samsung Galaxy A51 5G, Galaxy A71 5G Get Android 11 Update:\xc2\xa0Reports https://t.co/YrhvdrON85'","b'samsung galaxy a51 5g, galaxy a71 5g get android 11 update:\xc2\xa0reports https://t.co/yrhvdron85'","['b', 'samsung', 'galaxy', 'a51', '5g', 'galaxy', 'a71', '5g', 'get', 'android', '11', 'update', 'xc2', 'xa0reports', 'https', 't', 'co', 'yrhvdron85']",b samsung galaxy a51 5g galaxy a71 5g get android 11 update xc2 xa0reports http co yrhvdron85,Neutral
3,2021-03-19 23:58:54,"b""RT @FromKorea5: Samsung Galaxy Z Fold 2 Whitestone Dome Screen Protector https://t.co/0GNb82hJhR - @TheDigiDigest\nThe World's First Tempere\xe2\x80\xa6""","b""rt @fromkorea5: samsung galaxy z fold 2 whitestone dome screen protector https://t.co/0gnb82hjhr - @thedigidigest\nthe world's first tempere\xe2\x80\xa6""","['b', 'rt', 'fromkorea5', 'samsung', 'galaxy', 'z', 'fold', '2', 'whitestone', 'dome', 'screen', 'protector', 'https', 't', 'co', '0gnb82hjhr', 'thedigidigest', 'nthe', 'world', 's', 'first', 'tempere', 'xe2', 'x80', 'xa6']",b rt fromkorea5 samsung galaxy z fold 2 whitestone dome screen protector http co 0gnb82hjhr thedigidigest nthe world first tempere xe2 x80 xa6,Positive
4,2021-03-19 23:58:51,"b""RT @WhitestoneChina: \xe2\x9d\x94\xe2\x9d\x94\xe2\x9d\x94 You already got apple watch \xe2\x9d\x94\xe2\x9d\x94\xe2\x9d\x94 \n\nIt is time to protect apple watch's screen with Whitestone Dome Glass\n\nSHOP NOW\xe2\x80\xa6""","b""rt @whitestonechina: \xe2\x9d\x94\xe2\x9d\x94\xe2\x9d\x94 you already got apple watch \xe2\x9d\x94\xe2\x9d\x94\xe2\x9d\x94 \n\nit is time to protect apple watch's screen with whitestone dome glass\n\nshop now\xe2\x80\xa6""","['b', 'rt', 'whitestonechina', 'xe2', 'x9d', 'x94', 'xe2', 'x9d', 'x94', 'xe2', 'x9d', 'x94', 'you', 'already', 'got', 'apple', 'watch', 'xe2', 'x9d', 'x94', 'xe2', 'x9d', 'x94', 'xe2', 'x9d', 'x94', 'n', 'nit', 'is', 'time', 'to', 'protect', 'apple', 'watch', 's', 'screen', 'with', 'whitestone', 'dome', 'glass', 'n', 'nshop', 'now', 'xe2', 'x80', 'xa6']",b rt whitestonechina xe2 x9d x94 xe2 x9d x94 xe2 x9d x94 already got apple watch xe2 x9d x94 xe2 x9d x94 xe2 x9d x94 n nit time protect apple watch screen whitestone dome glass n nshop xe2 x80 xa6,Neutral
5,2021-03-19 23:58:41,"b""RT @FromKorea5: Best Galaxy S21 Ultra screen protectors to protect your new phone https://t.co/w7qL6mE3gv - @aadhu.com\nThe World's First Te\xe2\x80\xa6""","b""rt @fromkorea5: best galaxy s21 ultra screen protectors to protect your new phone https://t.co/w7ql6me3gv - @aadhu.com\nthe world's first te\xe2\x80\xa6""","['b', 'rt', 'fromkorea5', 'best', 'galaxy', 's21', 'ultra', 'screen', 'protectors', 'to', 'protect', 'your', 'new', 'phone', 'https', 't', 'co', 'w7ql6me3gv', 'aadhu', 'com', 'nthe', 'world', 's', 'first', 'te', 'xe2', 'x80', 'xa6']",b rt fromkorea5 best galaxy s21 ultra screen protector protect new phone http co w7ql6me3gv aadhu com nthe world first te xe2 x80 xa6,Positive
6,2021-03-19 23:58:41,b'RT @namuswife: \xf0\x9f\x93\xab Unboxing \xe2\x80\x94 Photocard Samsung Galaxy S20+ BTS Edition https://t.co/NTo5R27kqU',b'rt @namuswife: \xf0\x9f\x93\xab unboxing \xe2\x80\x94 photocard samsung galaxy s20+ bts edition https://t.co/nto5r27kqu',"['b', 'rt', 'namuswife', 'xf0', 'x9f', 'x93', 'xab', 'unboxing', 'xe2', 'x80', 'x94', 'photocard', 'samsung', 'galaxy', 's20', 'bts', 'edition', 'https', 't', 'co', 'nto5r27kqu']",b rt namuswife xf0 x9f x93 xab unboxing xe2 x80 x94 photocard samsung galaxy s20 bts edition http co nto5r27kqu,Neutral
7,2021-03-19 23:58:39,"b""RT @dome_glass: Galaxy S21 Whitestone Dome Glass Premium Screen Protector  https://t.co/AQl1iX9POt - @YouTube\nThe World's First Tempered Gl\xe2\x80\xa6""","b""rt @dome_glass: galaxy s21 whitestone dome glass premium screen protector  https://t.co/aql1ix9pot - @youtube\nthe world's first tempered gl\xe2\x80\xa6""","['b', 'rt', 'dome_glass', 'galaxy', 's21', 'whitestone', 'dome', 'glass', 'premium', 'screen', 'protector', 'https', 't', 'co', 'aql1ix9pot', 'youtube', 'nthe', 'world', 's', 'first', 'tempered', 'gl', 'xe2', 'x80', 'xa6']",b rt dome_glass galaxy s21 whitestone dome glass premium screen protector http co aql1ix9pot youtube nthe world first tempered gl xe2 x80 xa6,Positive
8,2021-03-19 23:58:36,"b""RT @FromKorea5: Best Galaxy Note 20 and Note 20 Ultra screen protectors https://t.co/BUlKJW4CTT\nThe World's First Tempered Glass Screen Pro\xe2\x80\xa6""","b""rt @fromkorea5: best galaxy note 20 and note 20 ultra screen protectors https://t.co/bulkjw4ctt\nthe world's first tempered glass screen pro\xe2\x80\xa6""","['b', 'rt', 'fromkorea5', 'best', 'galaxy', 'note', '20', 'and', 'note', '20', 'ultra', 'screen', 'protectors', 'https', 't', 'co', 'bulkjw4ctt', 'nthe', 'world', 's', 'first', 'tempered', 'glass', 'screen', 'pro', 'xe2', 'x80', 'xa6']",b rt fromkorea5 best galaxy note 20 note 20 ultra screen protector http co bulkjw4ctt nthe world first tempered glass screen pro xe2 x80 xa6,Positive
9,2021-03-19 23:58:29,"b""RT @WhitestoneChina: Samsung Galaxy S21 Ultra Unboxing &amp; First Impressions \xe2\x9a\xa1 https://t.co/zpPSylyWv1 - @TrakinTech\nThe World's First Temper\xe2\x80\xa6""","b""rt @whitestonechina: samsung galaxy s21 ultra unboxing &amp; first impressions \xe2\x9a\xa1 https://t.co/zppsylywv1 - @trakintech\nthe world's first temper\xe2\x80\xa6""","['b', 'rt', 'whitestonechina', 'samsung', 'galaxy', 's21', 'ultra', 'unboxing', 'amp', 'first', 'impressions', 'xe2', 'x9a', 'xa1', 'https', 't', 'co', 'zppsylywv1', 'trakintech', 'nthe', 'world', 's', 'first', 'temper', 'xe2', 'x80', 'xa6']",b rt whitestonechina samsung galaxy s21 ultra unboxing amp first impression xe2 x9a xa1 http co zppsylywv1 trakintech nthe world first temper xe2 x80 xa6,Positive
