,date,text,Comment,Word_Tok,CommentAferPreproc,sentiment
0,2021-03-30 23:56:56,"b'RT @CryptoWizardd: $mitx undervalued\n\nactive team and developers, they recently intergrated #mlseeds what opens a bigg array of oppurtuniti\xe2\x80\xa6'","b'rt @cryptowizardd: $mitx undervalued\n\nactive team and developers, they recently intergrated #mlseeds what opens a bigg array of oppurtuniti\xe2\x80\xa6'","['b', 'rt', 'cryptowizardd', 'mitx', 'undervalued', 'n', 'nactive', 'team', 'and', 'developers', 'they', 'recently', 'intergrated', 'mlseeds', 'what', 'opens', 'a', 'bigg', 'array', 'of', 'oppurtuniti', 'xe2', 'x80', 'xa6']",b rt cryptowizardd mitx undervalued n nactive team developer recently intergrated mlseeds open bigg array oppurtuniti xe2 x80 xa6,Neutral
1,2021-03-30 23:56:44,"b'RT @Tom_Fowdy: Boris Johnson:\n\n""Let\'s turn G7 into an anti-China group""\n""Let\'s call it D10 and use it to contain Huawei""\n""Let\'s build a dem\xe2\x80\xa6'","b'rt @tom_fowdy: boris johnson:\n\n""let\'s turn g7 into an anti-china group""\n""let\'s call it d10 and use it to contain huawei""\n""let\'s build a dem\xe2\x80\xa6'","['b', 'rt', 'tom_fowdy', 'boris', 'johnson', 'n', 'n', 'let', 's', 'turn', 'g7', 'into', 'an', 'anti', 'china', 'group', 'n', 'let', 's', 'call', 'it', 'd10', 'and', 'use', 'it', 'to', 'contain', 'huawei', 'n', 'let', 's', 'build', 'a', 'dem', 'xe2', 'x80', 'xa6']",b rt tom_fowdy boris johnson n n let turn g7 anti china group n let call d10 use contain huawei n let build dem xe2 x80 xa6,Neutral
2,2021-03-30 23:56:10,b'RT @CryptoBoss1984: Another hidden gem find - $MITX at only 64 mil mkt cap. Easy a x5 to x10 coin in a few months\nCompany fundamental are s\xe2\x80\xa6',b'rt @cryptoboss1984: another hidden gem find - $mitx at only 64 mil mkt cap. easy a x5 to x10 coin in a few months\ncompany fundamental are s\xe2\x80\xa6',"['b', 'rt', 'cryptoboss1984', 'another', 'hidden', 'gem', 'find', 'mitx', 'at', 'only', '64', 'mil', 'mkt', 'cap', 'easy', 'a', 'x5', 'to', 'x10', 'coin', 'in', 'a', 'few', 'months', 'ncompany', 'fundamental', 'are', 's', 'xe2', 'x80', 'xa6']",b rt cryptoboss1984 another hidden gem find mitx 64 mil mkt cap easy x5 x10 coin month ncompany fundamental xe2 x80 xa6,Positive
3,2021-03-30 23:55:52,"b'RT @Tom_Fowdy: Boris Johnson:\n\n""Let\'s turn G7 into an anti-China group""\n""Let\'s call it D10 and use it to contain Huawei""\n""Let\'s build a dem\xe2\x80\xa6'","b'rt @tom_fowdy: boris johnson:\n\n""let\'s turn g7 into an anti-china group""\n""let\'s call it d10 and use it to contain huawei""\n""let\'s build a dem\xe2\x80\xa6'","['b', 'rt', 'tom_fowdy', 'boris', 'johnson', 'n', 'n', 'let', 's', 'turn', 'g7', 'into', 'an', 'anti', 'china', 'group', 'n', 'let', 's', 'call', 'it', 'd10', 'and', 'use', 'it', 'to', 'contain', 'huawei', 'n', 'let', 's', 'build', 'a', 'dem', 'xe2', 'x80', 'xa6']",b rt tom_fowdy boris johnson n n let turn g7 anti china group n let call d10 use contain huawei n let build dem xe2 x80 xa6,Neutral
4,2021-03-30 23:55:12,"b'Boris Johnson:\n\n""Let\'s turn G7 into an anti-China group""\n""Let\'s call it D10 and use it to contain Huawei""\n""Let\'s bu\xe2\x80\xa6 https://t.co/XnPTlBcjxd'","b'boris johnson:\n\n""let\'s turn g7 into an anti-china group""\n""let\'s call it d10 and use it to contain huawei""\n""let\'s bu\xe2\x80\xa6 https://t.co/xnptlbcjxd'","['b', 'boris', 'johnson', 'n', 'n', 'let', 's', 'turn', 'g7', 'into', 'an', 'anti', 'china', 'group', 'n', 'let', 's', 'call', 'it', 'd10', 'and', 'use', 'it', 'to', 'contain', 'huawei', 'n', 'let', 's', 'bu', 'xe2', 'x80', 'xa6', 'https', 't', 'co', 'xnptlbcjxd']",b boris johnson n n let turn g7 anti china group n let call d10 use contain huawei n let bu xe2 x80 xa6 http co xnptlbcjxd,Neutral
5,2021-03-30 23:54:42,"b""How @Huawei manages to maintain it's standing as a prime patent licensing target at the same time as it turns itsel\xe2\x80\xa6 https://t.co/F5ZZo0n5VK""","b""how @huawei manages to maintain it's standing as a prime patent licensing target at the same time as it turns itsel\xe2\x80\xa6 https://t.co/f5zzo0n5vk""","['b', 'how', 'huawei', 'manages', 'to', 'maintain', 'it', 's', 'standing', 'as', 'a', 'prime', 'patent', 'licensing', 'target', 'at', 'the', 'same', 'time', 'as', 'it', 'turns', 'itsel', 'xe2', 'x80', 'xa6', 'https', 't', 'co', 'f5zzo0n5vk']",b huawei manages maintain standing prime patent licensing target time turn itsel xe2 x80 xa6 http co f5zzo0n5vk,Neutral
6,2021-03-30 23:54:41,"b'RT @CE_ChinaEconomy: According to #Huawei, its #greenpower generation and efficient #electricity consumption sectors have generated 325 bln\xe2\x80\xa6'","b'rt @ce_chinaeconomy: according to #huawei, its #greenpower generation and efficient #electricity consumption sectors have generated 325 bln\xe2\x80\xa6'","['b', 'rt', 'ce_chinaeconomy', 'according', 'to', 'huawei', 'its', 'greenpower', 'generation', 'and', 'efficient', 'electricity', 'consumption', 'sectors', 'have', 'generated', '325', 'bln', 'xe2', 'x80', 'xa6']",b rt ce_chinaeconomy according huawei greenpower generation efficient electricity consumption sector generated 325 bln xe2 x80 xa6,Neutral
7,2021-03-30 23:54:19,"b""RT @CE_ChinaEconomy: Huawei's smart #photovoltaic projects combine #AI, cloud computing and traditional photovoltaic station. By directing\xe2\x80\xa6""","b""rt @ce_chinaeconomy: huawei's smart #photovoltaic projects combine #ai, cloud computing and traditional photovoltaic station. by directing\xe2\x80\xa6""","['b', 'rt', 'ce_chinaeconomy', 'huawei', 's', 'smart', 'photovoltaic', 'projects', 'combine', 'ai', 'cloud', 'computing', 'and', 'traditional', 'photovoltaic', 'station', 'by', 'directing', 'xe2', 'x80', 'xa6']",b rt ce_chinaeconomy huawei smart photovoltaic project combine ai cloud computing traditional photovoltaic station directing xe2 x80 xa6,Positive
8,2021-03-30 23:53:56,b'RT @eolander: Kenyan ICT Minister Joe Mucheru once again dismissed U.S. allegations that Huawei networking equipment is not secure and said\xe2\x80\xa6',b'rt @eolander: kenyan ict minister joe mucheru once again dismissed u.s. allegations that huawei networking equipment is not secure and said\xe2\x80\xa6',"['b', 'rt', 'eolander', 'kenyan', 'ict', 'minister', 'joe', 'mucheru', 'once', 'again', 'dismissed', 'u', 's', 'allegations', 'that', 'huawei', 'networking', 'equipment', 'is', 'not', 'secure', 'and', 'said', 'xe2', 'x80', 'xa6']",b rt eolander kenyan ict minister joe mucheru dismissed u allegation huawei networking equipment secure said xe2 x80 xa6,Positive
9,2021-03-30 23:53:04,b'U.S. FCC commissioner urges tougher steps on Chinese network equipment https://t.co/0DfdPzQiaI',b'u.s. fcc commissioner urges tougher steps on chinese network equipment https://t.co/0dfdpzqiai',"['b', 'u', 's', 'fcc', 'commissioner', 'urges', 'tougher', 'steps', 'on', 'chinese', 'network', 'equipment', 'https', 't', 'co', '0dfdpzqiai']",b u fcc commissioner urge tougher step chinese network equipment http co 0dfdpzqiai,Neutral
