,words,sentiments
0,team,['trust']
1,array,['positive']
2,build,['positive']
3,hidden,['negative']
4,gem,"['joy', 'positive']"
5,cap,"['anticipation', 'trust']"
6,fundamental,"['positive', 'trust']"
7,standing,['positive']
8,prime,['positive']
9,patent,['positive']
10,time,['anticipation']
11,efficient,"['anticipation', 'positive', 'trust']"
12,electricity,['positive']
13,traditional,['positive']
14,allegation,"['anger', 'negative']"
15,network,['anticipation']
16,lawyer,"['anger', 'disgust', 'fear', 'negative']"
17,court,"['anger', 'anticipation', 'fear']"
18,asserting,"['positive', 'trust']"
19,small,['negative']
20,trade,['trust']
21,war,"['fear', 'negative']"
22,elite,"['anticipation', 'joy', 'positive', 'trust']"
23,sympathetic,"['fear', 'joy', 'positive', 'sadness', 'trust']"
24,ambassador,"['positive', 'trust']"
25,threat,"['anger', 'fear', 'negative']"
26,compelling,['positive']
27,argument,"['anger', 'negative']"
28,legal,"['positive', 'trust']"
29,scholar,['positive']
30,vote,"['anger', 'anticipation', 'joy', 'negative', 'positive', 'sadness', 'surprise', 'trust']"
31,pose,['negative']
32,continue,"['anticipation', 'positive', 'trust']"
33,giant,['fear']
34,technology,['positive']
35,payment,['negative']
36,acquiring,"['anticipation', 'positive']"
37,steady,"['surprise', 'trust']"
38,leading,['trust']
39,information,['positive']
40,communication,['trust']
41,solution,['positive']
42,broken,"['anger', 'fear', 'negative', 'sadness']"
43,wrong,['negative']
44,case,"['fear', 'negative', 'sadness']"
45,hate,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
46,core,['positive']
47,barred,['negative']
48,shoot,"['anger', 'fear', 'negative']"
49,ram,"['anger', 'anticipation', 'negative']"
50,exposed,['negative']
51,toxic,"['disgust', 'negative']"
52,culture,['positive']
53,player,['negative']
54,grab,"['anger', 'negative']"
55,share,"['anticipation', 'joy', 'positive', 'trust']"
56,board,['anticipation']
57,john,"['disgust', 'negative']"
58,thought,['anticipation']
59,decent,['positive']
60,job,['positive']
61,success,"['anticipation', 'joy', 'positive']"
62,rooted,"['positive', 'trust']"
63,protecting,"['positive', 'trust']"
64,giving,['positive']
65,fake,['negative']
66,king,['positive']
67,top,"['anticipation', 'positive', 'trust']"
68,full,['positive']
69,guess,['surprise']
70,cash,"['anger', 'anticipation', 'fear', 'joy', 'positive', 'trust']"
71,join,['positive']
72,promotion,['positive']
73,earn,['positive']
74,working,['positive']
75,daily,['anticipation']
76,merchant,['trust']
77,good,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
78,tempered,['positive']
79,watch,"['anticipation', 'fear']"
80,ban,['negative']
81,vaccine,['positive']
82,losing,"['anger', 'negative', 'sadness']"
83,track,['anticipation']
84,money,"['anger', 'anticipation', 'joy', 'positive', 'surprise', 'trust']"
85,account,['trust']
86,marked,['positive']
87,diverse,"['negative', 'positive']"
88,rejected,['negative']
89,government,"['fear', 'negative']"
90,delayed,['negative']
91,pioneer,['positive']
92,launch,"['anticipation', 'positive']"
93,challenge,"['anger', 'fear', 'negative']"
94,fill,['trust']
95,important,"['positive', 'trust']"
96,innovation,['positive']
